Approximation,Model,dataset,Accuracy,Time,Features
CES,agnostic,uber,76.8735777,3.817157792,5
Cohort,agnostic,uber,76.8735777,3.817157792,5
Cohort,agnostic,france,78.33386527,5.179792927,7
CES,agnostic,france,78.33386527,5.179792927,7
SGDShapley,agnostic,advertisements,79.31402903,0.1444646445,4
SGDShapley,agnostic,advertising,79.31402903,0.1391540477,4
Exhaustive,agnostic,startups,79.47960385,0.1372852325,4
KernelSHAP,agnostic,startups,79.47960385,0.07175710622,4
SGDShapley,agnostic,petrol,79.68981296,0.1373791546,4
IME,agnostic,startups,79.9920614,0.1510114249,4
SGDShapley,agnostic,heartfailure,81.39444043,0.1602236502,12
SGDShapley,agnostic,diabetes,81.5976458,0.1591659315,8
Non-parametric KernelSHAP,agnostic,diabetes,82.04539841,0.013854,8
Parametric KernelSHAP,agnostic,diabetes,82.04539855,0.014272,8
CES,agnostic,abalone,83.66306193,8.39078832,10
Cohort,agnostic,abalone,83.66306193,8.39078832,10
IME,agnostic,apartments,84.8592343,0.1540246193,3
Non-parametric KernelSHAP,agnostic,heart_disease,85.48268814,0.16479,13
Parametric KernelSHAP,agnostic,heart_disease,85.48268851,0.17357,13
KernelSHAP,agnostic,apartments,85.6678236,0.0904386502,3
Exhaustive,agnostic,apartments,85.6678236,0.04728484154,3
CES,agnostic,servo,85.7580361,1.057413106,12
Cohort,agnostic,servo,85.7580361,1.057413106,12
Parametric KernelSHAP,agnostic,chickweight,85.9763113,0.006922,3
Non-parametric KernelSHAP,agnostic,chickweight,85.9763114,0.006961,3
SGDShapley,agnostic,migration,86.30918462,0.158616806,11
SGDShapley,agnostic,iris,86.45106303,0.1434573555,4
SGDShapley,agnostic,jewellery,86.66234381,0.1499600725,3
SGDShapley,agnostic,telecom,86.68108115,0.1704171918,11
SGDShapley,agnostic,blood,87.11063878,0.1560357901,4
MLE,agnostic,mtcars,87.56444521,0.4080631516,11
SGDShapley,agnostic,prostate,87.96142447,0.1416482564,8
SGDShapley,agnostic,poker,88.00452469,0.2345333251,10
IME,agnostic,linnerud,88.42606211,0.1552205426,5
Exhaustive,agnostic,linnerud,88.47015449,0.3874003887,5
KernelSHAP,agnostic,linnerud,88.47015449,0.06969629015,5
SGDShapley,agnostic,linnerud,88.89422498,0.140773092,5
CES,agnostic,mtcars,88.90265554,0.1561844782,11
Cohort,agnostic,mtcars,88.90265554,0.1561844782,11
SGDShapley,agnostic,stockreturn,89.76214625,0.1468600608,12
SGDShapley,agnostic,seeds,89.899858,0.145145437,6
Cohort,agnostic,hybrid,90.03699147,1.388740759,11
CES,agnostic,hybrid,90.03699147,1.388740759,11
SGDShapley,agnostic,stockrisk,90.20066866,0.1467473255,12
MLE,agnostic,startups,90.97208072,0.37646382,4
Non-parametric KernelSHAP,agnostic,walmart,91.0425867,0.010078,6
Parametric KernelSHAP,agnostic,walmart,91.04258923,0.008895,6
SGDShapley,agnostic,realestate,91.16464819,0.1512015649,7
MLE,agnostic,servo,91.34647491,0.4096955776,12
Cohort,agnostic,startups,91.75001776,0.18301048,4
CES,agnostic,startups,91.75001776,0.18301048,4
CES,agnostic,cust,91.77822262,5.361572181,8
Cohort,agnostic,cust,91.77822262,5.361572181,8
SGDShapley,agnostic,computer,91.79633922,0.1467823879,7
IME,agnostic,possumbelly,92.09155243,0.1832723822,10
Parametric KernelSHAP,agnostic,stockrisk,92.36923512,0.080815,12
Non-parametric KernelSHAP,agnostic,stockrisk,92.36923521,0.07295,12
Parametric KernelSHAP,agnostic,admission,92.37026186,0.0091,7
Non-parametric KernelSHAP,agnostic,admission,92.37026187,0.0086,7
Exhaustive,agnostic,possumbelly,92.38284019,239.6029878,10
KernelSHAP,agnostic,possumbelly,92.38284019,0.1102223396,10
SGDShapley,agnostic,apartments,92.38942998,0.1386299683,3
Exhaustive,agnostic,airline-costs,92.45318091,21.10025167,9
KernelSHAP,agnostic,airline-costs,92.45318091,0.1054726124,9
Non-parametric KernelSHAP,agnostic,poker,92.48033718,0.034161,10
Parametric KernelSHAP,agnostic,poker,92.48033756,0.043876,10
MLE,agnostic,uber,92.70294598,28.60046116,5
CES,agnostic,japanemg,92.80251981,0.1403224786,5
Cohort,agnostic,japanemg,92.80251981,0.1403224786,5
IME,agnostic,airline-costs,92.8469249,0.1643926382,9
CES,agnostic,winequality-white,92.89733389,8.5926377,11
Cohort,agnostic,winequality-white,92.89733389,8.5926377,11
MLE,agnostic,japanemg,93.02597829,0.389909935,5
MLE,agnostic,hybrid,93.05484426,0.4124002737,11
SGDShapley,agnostic,country-data,93.06691534,0.1476386232,9
MLE,agnostic,airline-costs,93.0973542,0.2558299541,9
CES,agnostic,migration,93.46151699,2.05291086,11
Cohort,agnostic,migration,93.46151699,2.05291086,11
Non-parametric KernelSHAP,agnostic,autompg,93.48863097,0.008344,7
Non-parametric KernelSHAP,agnostic,auto-mpg,93.48863097,0.008019,7
Parametric KernelSHAP,agnostic,auto-mpg,93.48863114,0.007478,7
Parametric KernelSHAP,agnostic,autompg,93.48863114,0.006879,7
SGDShapley,agnostic,possumbelly,93.5918152,0.1491768701,10
IME,agnostic,petrol,93.84011468,0.1553658694,4
CES,agnostic,housing,94.46414261,4.607876819,13
Cohort,agnostic,housing,94.46414261,4.607876819,13
SGDShapley,agnostic,winequality-red,94.61516331,0.1927382173,11
SGDShapley,agnostic,airline-costs,94.617226,0.1443571091,9
Exhaustive,agnostic,petrol,94.64983069,0.1426305771,4
KernelSHAP,agnostic,petrol,94.64983069,0.1133853644,4
Cohort,agnostic,advertisements,94.96021243,0.5541246624,4
MLE,agnostic,france,95.14409351,0.371086052,7
Non-parametric KernelSHAP,agnostic,employee,95.24385814,0.022571,9
Parametric KernelSHAP,agnostic,employee,95.24385952,0.025712,9
SGDShapley,agnostic,spending,95.31285347,0.1500365325,10
SGDShapley,agnostic,possumchest,95.31285347,0.1465072427,10
Parametric KernelSHAP,agnostic,crab,95.34137429,0.017481,8
Non-parametric KernelSHAP,agnostic,crab,95.34137434,0.015092,8
MLE,agnostic,advertisements,95.49676794,0.3682443301,4
SGDShapley,agnostic,winequality-white,95.60438059,0.2241618084,11
MLE,agnostic,advertising,95.69967141,0.3651483926,4
Cohort,agnostic,boston,95.71350836,4.477637865,13
CES,agnostic,boston,95.71350836,4.477637865,13
Cohort,agnostic,income,95.73663662,9.678174075,13
CES,agnostic,income,95.73663662,9.678174075,13
SGDShapley,agnostic,crab,95.76647582,0.237858544,8
Parametric KernelSHAP,agnostic,winequality-white,95.81963661,0.079974,11
Non-parametric KernelSHAP,agnostic,winequality-white,95.819637,0.085737,11
Parametric KernelSHAP,agnostic,advertising,96.05710112,0.005839,4
Parametric KernelSHAP,agnostic,advertisements,96.05710112,0.004929,4
Non-parametric KernelSHAP,agnostic,advertising,96.05710142,0.005391,4
Non-parametric KernelSHAP,agnostic,advertisements,96.05710142,0.005386,4
MLE,agnostic,linnerud,96.2751652,0.4173610551,5
SGDShapley,agnostic,airquality,96.34940845,0.2000738368,12
SGDShapley,agnostic,abalone,96.60885791,0.2320203752,10
Cohort,agnostic,germany,96.62043837,5.226346504,7
CES,agnostic,germany,96.62043837,5.226346504,7
MLE,agnostic,poker,96.68815057,1.143279214,10
IME,agnostic,poker,96.75260299,1.080720673,10
IME,agnostic,advertising,96.80609208,0.164342407,4
Cohort,agnostic,prostate,96.82240282,0.3865089922,8
CES,agnostic,prostate,96.82240282,0.3865089922,8
CES,agnostic,iris,96.83971543,0.6667425394,4
Cohort,agnostic,iris,96.83971543,0.6667425394,4
KernelSHAP,agnostic,poker,96.88047142,0.2044174917,10
SGDShapley,agnostic,californiahousing,96.88648344,0.6104199756,8
CES,agnostic,seoulbike,96.91467379,9.306391838,12
Cohort,agnostic,seoulbike,96.91467379,9.306391838,12
Parametric KernelSHAP,agnostic,energy_cool,96.95239369,0.014661,8
Non-parametric KernelSHAP,agnostic,energy_cool,96.9523938,0.011379,8
Cohort,agnostic,heartfailure,96.99386641,2.853133084,12
CES,agnostic,heartfailure,96.99386641,2.853133084,12
Cohort,agnostic,seeds,97.01026962,1.64777801,6
CES,agnostic,seeds,97.01026962,1.64777801,6
MLE,agnostic,asia_gdp,97.04433589,0.4123427187,10
SGDShapley,agnostic,mtcars,97.09239246,0.1465043371,11
Non-parametric KernelSHAP,agnostic,energy,97.1552035,0.019285,9
Parametric KernelSHAP,agnostic,energy,97.15520355,0.022087,9
Parametric KernelSHAP,agnostic,abalone,97.16709068,0.042745,10
Non-parametric KernelSHAP,agnostic,abalone,97.16709097,0.033732,10
SGDShapley,agnostic,power,97.17671454,48.29765082,4
IME,agnostic,spending,97.22672603,0.1831843785,10
CES,agnostic,advertising,97.23340548,1.579495954,4
Cohort,agnostic,advertising,97.23340548,1.579495954,4
IME,agnostic,advertisements,97.24033243,0.1649910139,4
IME,agnostic,possumchest,97.24903219,0.1840146269,10
MLE,agnostic,heartfailure,97.26162778,0.4121264063,12
Parametric KernelSHAP,agnostic,prostate,97.27092847,0.008046,8
Non-parametric KernelSHAP,agnostic,prostate,97.27092951,0.008114,8
Exhaustive,agnostic,advertising,97.27439883,0.5704498291,4
Exhaustive,agnostic,advertisements,97.27439883,0.3693475723,4
KernelSHAP,agnostic,advertising,97.27439883,0.1010478843,4
KernelSHAP,agnostic,advertisements,97.27439883,0.07571330576,4
CES,agnostic,advertisements,97.28442814,1.567364122,4
Parametric KernelSHAP,agnostic,heartfailure,97.39482845,0.107321,12
Non-parametric KernelSHAP,agnostic,heartfailure,97.39483834,0.076957,12
MLE,agnostic,economics,97.42052574,0.292005426,4
IME,agnostic,economics,97.45203823,0.1972048057,4
MLE,agnostic,unemploy,97.54397093,0.2953372842,4
IME,agnostic,unemploy,97.57545764,0.1997014234,4
Exhaustive,agnostic,spending,97.64111384,80.97994566,10
Exhaustive,agnostic,possumchest,97.64111384,79.9120903,10
KernelSHAP,agnostic,possumchest,97.64111384,0.09005978448,10
KernelSHAP,agnostic,spending,97.64111384,0.07405353955,10
CES,agnostic,economics,97.71088976,13.35527594,4
Cohort,agnostic,economics,97.71088976,13.35527594,4
CES,agnostic,unemploy,97.71141586,13.29319621,4
Cohort,agnostic,unemploy,97.71141586,13.29319621,4
Exhaustive,agnostic,unemploy,97.71703779,5.152873993,4
Exhaustive,agnostic,economics,97.71703779,2.100087166,4
KernelSHAP,agnostic,unemploy,97.71703779,0.1080946082,4
KernelSHAP,agnostic,economics,97.71703779,0.1050087314,4
Parametric KernelSHAP,agnostic,chanceadmit,97.74345336,0.007973,7
Non-parametric KernelSHAP,agnostic,chanceadmit,97.74345338,0.008626,7
CES,agnostic,employee,97.75776254,16.94709132,9
Cohort,agnostic,employee,97.75776254,6.947091316,9
IME,agnostic,mba,97.75877223,0.3578898603,13
MLE,agnostic,mba,97.80664306,0.4235509004,13
Parametric KernelSHAP,agnostic,income,97.80664306,0.217315,13
Non-parametric KernelSHAP,agnostic,income,97.80664306,0.217315,13
SGDShapley,agnostic,economics,97.82044154,0.1567536806,4
SGDShapley,agnostic,unemploy,97.82044154,0.1504084851,4
IME,agnostic,htwtindex,97.84729105,0.184985431,3
MLE,agnostic,casp,97.85317532,0.398520638,9
Exhaustive,agnostic,mba,97.9426085,8177.639182,13
KernelSHAP,agnostic,mba,97.9426085,0.0863296606,13
MLE,agnostic,possumbelly,97.95620371,0.3979393142,10
Cohort,agnostic,htwtindex,98.00084357,8.814801287,3
CES,agnostic,htwtindex,98.00084357,8.814801287,3
CES,agnostic,possumbelly,98.04972793,0.600800269,10
Cohort,agnostic,possumbelly,98.04972793,0.600800269,10
MLE,agnostic,admission,98.09062173,0.3812323541,7
Exhaustive,agnostic,htwtindex,98.11590826,1.466921568,3
KernelSHAP,agnostic,htwtindex,98.11590826,0.1376297922,3
IME,agnostic,winequality-white,98.11700813,0.9598177036,11
IME,agnostic,employee,98.14454717,0.590109172,9
IME,agnostic,uber,98.15609815,21.73971541,5
Parametric KernelSHAP,agnostic,power,98.15609815,0.008952,4
Non-parametric KernelSHAP,agnostic,power,98.15609815,0.008579,4
CES,agnostic,asia_gdp,98.17080824,0.167370694,10
Cohort,agnostic,asia_gdp,98.17080824,0.167370694,10
MLE,agnostic,power,98.17671454,174.9312365,4
IME,agnostic,seeds,98.2138269,0.1896468764,6
IME,agnostic,brainweight,98.22646391,0.1655144963,3
Parametric KernelSHAP,agnostic,seeds,98.27171442,0.005733,6
Non-parametric KernelSHAP,agnostic,seeds,98.27171447,0.006113,6
Exhaustive,agnostic,hybrid,98.28336915,277.0725262,11
KernelSHAP,agnostic,hybrid,98.28336915,0.09397495962,11
MLE,agnostic,boston,98.28458895,0.3915111348,13
SGDShapley,agnostic,hybrid,98.29310678,0.1520359656,11
Parametric KernelSHAP,agnostic,questions,98.30057008,0.005392,3
Non-parametric KernelSHAP,agnostic,questions,98.3005701,0.006305,3
Exhaustive,agnostic,seeds,98.32455259,6.107432842,6
KernelSHAP,agnostic,seeds,98.32455259,0.07340824431,6
SGDShapley,agnostic,const-maint,98.33035366,0.1405373053,4
IME,agnostic,hybrid,98.35107385,0.2046204408,11
MLE,agnostic,slump,98.36310124,0.3834305581,7
IME,agnostic,admission,98.36490096,0.1715739077,7
MLE,agnostic,brainweight,98.37378968,0.2525574588,3
SGDShapley,agnostic,brainweight,98.37494183,0.1432669978,3
KernelSHAP,agnostic,winequality-white,98.38232755,0.196766677,11
KernelSHAP,agnostic,employee,98.38637224,0.1543257352,9
CES,agnostic,brainweight,98.41592786,1.986941398,3
Cohort,agnostic,brainweight,98.41592786,1.986941398,3
CES,agnostic,apartments,98.42658452,0.2061381523,3
Cohort,agnostic,apartments,98.42658452,0.2061381523,3
Exhaustive,agnostic,brainweight,98.42908244,0.473856926,3
KernelSHAP,agnostic,brainweight,98.42908244,0.09630195099,3
MLE,agnostic,raotbl7,98.43435132,0.3768617351,7
IME,agnostic,powerlifting,98.45088609,2.701363716,6
SGDShapley,agnostic,admission,98.45771581,0.1447342714,7
CES,agnostic,admission,98.4942961,3.635482042,7
Parametric KernelSHAP,agnostic,mba,98.49581923,0.229694,13
Non-parametric KernelSHAP,agnostic,mba,98.49581933,0.179991,13
CES,agnostic,raotbl7,98.50089958,0.674265059,7
Cohort,agnostic,raotbl7,98.50089958,0.674265059,7
MLE,agnostic,stockrisk,98.50856699,0.2635086591,12
Exhaustive,agnostic,admission,98.51149137,19.03886533,7
KernelSHAP,agnostic,admission,98.51149137,0.09066128586,7
Cohort,agnostic,3droad,98.51484108,96.25023642,3
CES,agnostic,3droad,98.51484108,96.25023642,3
Parametric KernelSHAP,agnostic,energy_heat,98.5611119,0.015284,8
Non-parametric KernelSHAP,agnostic,energy_heat,98.56111198,0.013336,8
SGDShapley,agnostic,asia_gdp,98.56585325,0.1504741056,10
IME,agnostic,stockrisk,98.5668695,0.1748684989,12
MLE,agnostic,powerlifting,98.57599388,3.424901828,6
IME,agnostic,diamonds_filter,98.59428737,0.1938367962,4
SGDShapley,agnostic,sacramento,98.60992626,0.1590546439,5
MLE,agnostic,friedman,98.61172319,0.3856628541,9
KernelSHAP,agnostic,uber,98.64263601,8.56921798,5
Exhaustive,agnostic,stockrisk,98.6446397,1281.759876,12
KernelSHAP,agnostic,stockrisk,98.6446397,0.08966795069,12
MLE,agnostic,forest,98.64979165,0.4160085477,12
MLE,agnostic,yatch,98.68906945,0.3799128906,6
KernelSHAP,agnostic,powerlifting,98.7103557,1.029698631,6
MLE,agnostic,germany,98.72605121,0.3878784172,7
IME,agnostic,walmart,98.73277824,0.9751996719,6
Cohort,agnostic,ozone,98.76671029,2.205187986,12
CES,agnostic,ozone,98.76671029,2.205187986,12
MLE,agnostic,diamonds_filter,98.77508215,0.2865250159,4
IME,agnostic,country-data,98.78318334,0.192886923,9
SGDShapley,agnostic,diamond,98.81327702,0.2944662542,7
SGDShapley,agnostic,income,98.82335082,0.236120992,13
SGDShapley,agnostic,adult,98.82341592,0.232832012,12
MLE,agnostic,forestfire,98.82644677,0.4215975812,12
MLE,agnostic,walmart,98.8311536,1.272707776,6
Exhaustive,agnostic,winequality-red,98.87339015,14852.68454,11
KernelSHAP,agnostic,walmart,98.8853947,0.3961918643,6
CES,agnostic,diamonds_filter,98.88834122,12.11997794,4
Cohort,agnostic,diamonds_filter,98.88834122,12.11997794,4
Exhaustive,agnostic,diamonds_filter,98.889784,3.978970528,4
KernelSHAP,agnostic,diamonds_filter,98.889784,0.101112444,4
MLE,agnostic,winequality-white,98.8953023,0.4115837661,11
Cohort,agnostic,yatch,98.90943922,1.191213914,6
SGDShapley,agnostic,diamonds_filter,98.91159814,0.1487985163,4
